Time,Ultrasonic_p2_01
35.300,102.300,
35.400,102.300,
35.500,102.300,
35.600,103.200,
35.700,102.300,
35.800,102.300,
35.900,103.200,
36.000,103.600,
36.100,103.100,
36.200,103.100,
36.300,102.300,
36.400,102.200,
36.500,103.100,
36.600,102.200,
36.700,102.200,
36.800,102.200,
36.900,103.000,
37.000,103.000,
37.100,102.200,
37.200,103.100,
37.300,103.000,
37.400,102.300,
37.500,102.300,
37.600,102.300,
37.700,103.100,
37.800,102.200,
37.900,102.300,
38.000,102.300,
38.100,102.300,
38.200,102.200,
38.300,255.000,
38.400,255.000,
38.500,255.000,
38.600,255.000,
38.700,255.000,
38.800,103.100,
38.900,102.300,
39.000,103.700,
39.100,103.000,
39.200,103.000,
39.300,102.200,
39.400,102.300,
39.500,102.300,
39.600,102.300,
39.700,103.600,
39.800,103.000,
39.900,103.000,
40.000,101.500,
40.100,102.300,
40.200,103.000,
40.300,102.300,
40.400,103.000,
40.500,102.300,
40.600,104.400,
40.700,104.400,
40.800,102.300,
40.900,103.000,
41.000,102.300,
41.100,103.600,
41.200,102.300,
41.300,103.600,
41.400,104.400,
41.500,103.100,
41.600,103.700,
41.700,104.400,
41.800,103.600,
41.900,104.400,
42.000,103.600,
42.100,104.400,
42.200,104.400,
42.300,104.500,
42.400,103.700,
42.500,102.300,
42.600,104.400,
42.700,103.100,
42.800,103.700,
42.900,103.100,
43.000,255.000,
43.100,104.600,
43.200,103.100,
43.300,104.500,
43.400,255.000,
43.500,103.000,
43.600,103.000,
43.700,255.000,
43.800,102.200,
43.900,102.300,
44.000,103.000,
44.100,103.200,
44.200,103.000,
44.300,103.000,
44.400,103.000,
44.500,102.300,
44.600,103.600,
44.700,102.300,
44.800,103.000,
44.900,102.200,
45.000,103.700,
45.100,102.300,
45.200,102.300,
45.300,103.100,
45.400,103.000,
45.500,103.600,
45.600,103.700,
45.700,102.300,
45.800,103.700,
45.900,103.000,
46.000,102.300,
46.100,103.000,
46.200,103.000,
46.300,103.100,
46.400,102.300,
46.500,103.000,
46.600,102.300,
46.700,104.500,
46.800,103.000,
46.900,103.000,
47.000,103.600,
47.100,103.600,
47.200,103.100,
47.300,102.300,
47.400,102.200,
47.500,102.300,
47.600,102.300,
47.700,102.300,
47.800,102.300,
47.900,102.300,
48.000,102.200,
48.100,102.200,
48.200,101.500,
48.300,101.500,
48.400,102.200,
48.500,102.200,
48.600,102.200,
48.700,102.200,
48.800,104.600,
48.900,102.300,
49.000,102.300,
49.100,102.200,
49.200,102.200,
49.300,101.500,
49.400,102.200,
49.500,102.200,
49.600,102.300,
49.700,102.300,
49.800,102.300,
49.900,102.200,
50.000,103.100,
50.100,102.300,
50.200,102.200,
50.300,101.500,
50.400,102.300,
50.500,101.500,
50.600,102.200,
50.700,102.300,
50.800,102.200,
50.900,103.000,
51.000,101.500,
51.100,101.500,
51.200,102.300,
51.300,102.300,
51.400,102.200,
51.500,102.200,
51.600,103.000,
51.700,102.200,
51.800,102.200,
51.900,102.300,
52.000,102.300,
52.100,102.200,
52.200,102.300,
52.300,103.000,
52.400,103.000,
52.500,102.300,
52.600,102.200,
52.700,102.300,
52.800,102.200,
52.900,102.200,
53.000,102.200,
53.100,102.200,
53.200,103.100,
53.300,101.500,
53.400,102.200,
53.500,102.200,
53.600,102.200,
53.700,102.200,
53.800,102.300,
53.900,102.200,
54.000,102.300,
54.100,103.000,
54.200,102.300,
54.300,103.000,
54.400,103.000,
54.500,103.600,
54.600,102.300,
54.700,102.300,
54.800,103.000,
54.900,102.200,
55.000,103.600,
55.100,103.600,
55.200,102.300,
55.300,103.700,
55.400,103.600,
55.500,102.200,
55.600,102.200,
55.700,102.200,
55.800,102.200,
55.900,255.000,
56.000,102.300,
56.100,103.000,
56.200,104.500,
56.300,103.000,
56.400,101.500,
56.500,102.200,
56.600,102.300,
56.700,103.000,
56.800,101.500,
56.900,102.300,
57.000,104.400,
57.100,103.800,
57.200,102.300,
57.300,102.300,
57.400,103.000,
57.500,103.600,
57.600,103.100,
57.700,255.000,
57.800,103.000,
57.900,103.600,
58.000,104.500,
58.100,102.300,
58.200,102.200,
58.300,102.200,
58.400,103.000,
58.500,103.600,
58.600,103.700,
58.700,103.200,
58.800,102.300,
58.900,103.000,
59.000,105.200,
59.100,102.300,
59.200,103.000,
59.300,102.300,
59.400,104.400,
59.500,103.400,
59.600,103.000,
59.700,103.600,
59.800,103.600,
59.900,104.400,
60.000,103.000,
60.100,255.000,
60.200,103.100,
60.300,103.000,
60.400,102.300,
60.500,103.100,
60.600,105.200,
60.700,103.000,
60.800,103.700,
60.900,103.000,
61.000,102.300,
61.100,103.100,
61.200,103.000,
61.300,102.300,
61.400,102.300,
61.500,102.300,
61.600,104.400,
61.700,103.100,
61.800,102.300,
61.900,103.700,
62.000,102.300,
62.100,104.400,
62.200,255.000,
62.300,104.400,
62.400,103.000,
62.500,104.400,
62.600,104.500,
62.700,102.300,
62.800,103.000,
62.900,104.400,
63.000,103.100,
63.100,103.000,
63.200,103.700,
63.300,102.300,
63.400,103.000,
63.500,103.000,
63.600,102.300,
63.700,103.000,
63.800,255.000,
63.900,103.000,
64.000,103.000,
64.100,102.300,
64.200,102.300,
64.300,102.200,
64.400,102.200,
64.500,102.300,
64.600,103.600,
64.700,104.500,
64.800,104.400,
64.900,102.200,
65.000,103.600,
65.100,255.000,
65.200,103.100,
65.300,102.200,
65.400,103.000,
65.500,103.600,
65.600,102.200,
65.700,102.200,
65.800,103.600,
65.900,102.300,
66.000,102.300,
66.100,103.000,
66.200,103.000,
66.300,103.000,
66.400,104.400,
66.500,102.200,
66.600,102.200,
66.700,103.100,
66.800,103.000,
66.900,102.200,
67.000,101.500,
67.100,103.000,
67.200,102.200,
67.300,102.300,
67.400,102.200,
67.500,102.200,
67.600,103.200,
67.700,102.300,
67.800,103.100,
67.900,102.300,
68.000,102.200,
68.100,102.300,
68.200,103.100,
68.300,103.000,
68.400,102.300,
68.500,102.300,
68.600,102.200,
68.700,102.200,
68.800,101.500,
68.900,102.200,
69.000,83.500,
69.100,102.200,
69.200,102.300,
69.300,85.300,
69.400,84.900,
69.500,103.000,
69.600,102.300,
69.700,85.700,
69.800,101.500,
69.900,102.200,
70.000,84.700,
70.100,84.100,
70.200,99.400,
70.300,101.400,
70.400,101.500,
70.500,101.200,
70.600,106.200,
70.700,114.300,
70.800,114.300,
70.900,114.300,
71.000,103.100,
71.100,103.100,
71.200,103.800,
71.300,103.800,
71.400,103.800,
71.500,103.800,
71.600,103.800,
71.700,51.000,
71.800,50.900,
71.900,101.200,
72.000,101.200,
72.100,101.200,
72.200,101.200,
72.300,47.900,
72.400,49.200,
72.500,46.400,
72.600,46.900,
72.700,45.800,
72.800,45.800,
72.900,54.200,
73.000,53.700,
73.100,100.400,
73.200,100.400,
73.300,100.400,
73.400,33.600,
73.500,32.800,
73.600,33.400,
73.700,32.600,
73.800,32.600,
73.900,32.600,
74.000,39.200,
74.100,39.200,
74.200,39.200,
74.300,33.600,
74.400,32.100,
74.500,36.400,
74.600,36.400,
74.700,36.400,
74.800,34.000,
74.900,34.000,
75.000,32.800,
75.100,32.800,
75.200,32.800,
75.300,32.800,
75.400,32.800,
75.500,32.800,
75.600,34.000,
75.700,35.300,
75.800,110.100,
75.900,110.100,
76.000,110.100,
76.100,39.300,
76.200,38.300,
76.300,32.100,
76.400,32.600,
76.500,32.900,
76.600,34.700,
76.700,33.600,
76.800,35.500,
76.900,34.500,
